,target
399,125
616,120
320,143
19,167
786,160
950,127
785,156
407,166
537,121
38,150
175,131
245,152
946,153
649,153
806,148
834,140
154,129
287,133
653,147
569,124
722,169
17,165
127,166
322,166
255,156
685,131
938,121
190,153
115,164
599,140
301,144
816,137
693,169
704,169
666,124
643,142
517,158
957,122
45,161
883,132
157,120
723,129
171,126
16,167
511,160
48,151
944,165
817,149
515,161
667,125
480,131
929,157
636,120
225,145
26,139
761,166
437,143
925,126
364,143
229,125
37,145
939,141
374,157
469,156
941,152
827,141
706,134
194,148
830,136
914,149
503,128
943,144
807,137
579,160
942,127
162,143
715,157
152,131
662,127
828,136
734,123
111,129
226,126
669,150
103,157
421,145
419,153
880,121
586,156
759,155
119,155
53,151
151,168
403,164
919,142
207,135
658,136
820,127
741,168
8,127
784,147
36,155
452,150
651,133
253,120
303,152
917,137
571,141
623,129
800,135
966,129
262,150
610,148
297,147
414,160
150,168
767,128
640,168
863,131
550,132
770,154
488,145
147,167
146,137
905,131
865,132
659,166
348,162
463,120
325,154
186,143
123,130
829,155
608,161
143,135
932,130
197,121
609,156
279,140
293,165
400,122
183,161
202,158
438,123
246,120
415,143
755,150
758,160
937,138
129,155
637,124
402,134
859,130
749,130
887,167
219,156
641,147
889,134
731,123
783,159
893,143
624,142
874,143
739,136
386,137
509,123
267,155
796,157
441,139
496,146
112,154
691,141
232,162
845,123
607,157
671,130
373,131
954,134
819,138
233,158
764,121
676,156
317,132
648,168
410,126
872,147
709,129
358,160
258,122
744,130
627,165
632,129
282,144
376,131
384,152
224,125
927,161
861,128
472,161
347,131
505,138
639,134
960,155
902,162
879,147
619,120
921,149
645,164
823,150
556,138
931,163
577,144
85,158
242,126
698,161
159,155
540,139
170,152
654,161
864,128
824,122
918,147
733,133
95,169
563,161
240,147
742,125
574,126
690,149
460,135
553,121
853,167
206,121
392,129
794,130
397,162
766,135
825,122
217,127
4,158
768,147
642,150
891,152
612,129
738,158
546,156
725,145
683,141
98,142
804,160
727,128
573,142
406,157
502,120
47,131
32,157
779,167
200,130
134,131
27,135
855,146
230,162
489,120
772,132
378,169
288,155
418,139
674,128
391,160
592,155
498,141
138,122
62,135
471,158
647,136
128,153
949,144
520,138
838,130
64,144
812,168
14,161
156,165
40,131
492,136
379,158
187,135
763,144
216,157
791,154
52,134
337,142
748,159
719,139
724,153
295,139
701,120
726,149
461,157
455,143
969,166
815,161
862,123
269,145
201,153
161,156
555,152
729,150
401,130
702,127
476,122
821,147
771,160
105,153
565,128
389,128
1,151
911,162
955,120
561,129
80,165
205,148
34,148
775,151
508,164
427,130
454,135
366,157
91,152
339,130
897,167
564,140
776,153
241,149
13,136
315,124
600,147
387,160
273,121
166,136
840,154
965,122
646,162
818,144
484,151
953,164
504,139
831,133
243,128
566,166
875,138
562,120
686,129
189,131
782,151
699,135
475,162
681,122
510,128
58,153
474,148
560,158
856,140
747,144
252,152
21,142
313,132
459,121
160,140
276,123
191,126
385,132
805,122
413,137
491,121
343,162
769,132
308,137
661,129
130,156
663,140
871,158
99,165
372,155
87,169
458,145
330,163
214,138
466,154
121,151
20,127
700,131
71,131
106,168
270,136
860,132
435,142
102,122
